,var
A,6.882779173741375
B,3.9254317891198847
kappa_mean,1.3124023752335774
kappa_std,0.8720325716336293
lambda_mean,0.8835089291588141
lambda_std,0.6844332975843361
PCA_RI_low,-0.5417731614101211
PCA_RI_high,0.5841739908609767
SpFLC,0.5999999999999986
SeFLC,0.8540540540540504
SpPC,0.9457627118644067
SePC,0.8486486486486486
